library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib1,RpACE2_05_bin4,RpACE2,4,5,200914,1154,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s14-b4_S52_R1_001.fastq.gz
lib1,RpACE2_06_bin1,RpACE2,1,6,200914,8918280,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b1_S53_R1_001.fastq.gz
lib1,RpACE2_06_bin2,RpACE2,2,6,200914,86703,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b2_S54_R1_001.fastq.gz
lib1,RpACE2_06_bin3,RpACE2,3,6,200914,590,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b3_S55_R1_001.fastq.gz
lib1,RpACE2_06_bin4,RpACE2,4,6,200914,7,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s15-b4_S56_R1_001.fastq.gz
lib1,RpACE2_07_bin1,RpACE2,1,7,200914,8943370,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b1_S57_R1_001.fastq.gz
lib1,RpACE2_07_bin2,RpACE2,2,7,200914,85765,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b2_S58_R1_001.fastq.gz
lib1,RpACE2_07_bin3,RpACE2,3,7,200914,17,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b3_S59_R1_001.fastq.gz
lib1,RpACE2_07_bin4,RpACE2,4,7,200914,5,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s16-b4_S60_R1_001.fastq.gz
lib1,RpACE2_09_bin1,RpACE2,1,9,200914,8714547,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b1_S33_R1_001.fastq.gz
lib1,RpACE2_09_bin2,RpACE2,2,9,200914,92114,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b2_S34_R1_001.fastq.gz
lib1,RpACE2_09_bin3,RpACE2,3,9,200914,26,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b3_S35_R1_001.fastq.gz
lib1,RpACE2_09_bin4,RpACE2,4,9,200914,4,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b4_S36_R1_001.fastq.gz
lib1,RaACE2_01_bin1,RaACE2,1,1,200914,4274285,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b1_S61_R1_001.fastq.gz
lib1,RaACE2_01_bin2,RaACE2,2,1,200914,1162189,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b2_S62_R1_001.fastq.gz
lib1,RaACE2_01_bin3,RaACE2,3,1,200914,520104,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b3_S63_R1_001.fastq.gz
lib1,RaACE2_01_bin4,RaACE2,4,1,200914,1987146,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s19-b4_S64_R1_001.fastq.gz
lib1,RaACE2_02_bin1,RaACE2,1,2,200914,5158996,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b1_S65_R1_001.fastq.gz
lib1,RaACE2_02_bin2,RaACE2,2,2,200914,952009,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b2_S66_R1_001.fastq.gz
lib1,RaACE2_02_bin3,RaACE2,3,2,200914,502295,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b3_S67_R1_001.fastq.gz
lib1,RaACE2_02_bin4,RaACE2,4,2,200914,1926430,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s20-b4_S68_R1_001.fastq.gz
lib1,RaACE2_03_bin1,RaACE2,1,3,200914,6096733,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b1_S69_R1_001.fastq.gz
lib1,RaACE2_03_bin2,RaACE2,2,3,200914,643578,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b2_S70_R1_001.fastq.gz
lib1,RaACE2_03_bin3,RaACE2,3,3,200914,552632,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b3_S71_R1_001.fastq.gz
lib1,RaACE2_03_bin4,RaACE2,4,3,200914,1850698,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s21-b4_S72_R1_001.fastq.gz
lib1,RaACE2_04_bin1,RaACE2,1,4,200914,5793038,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b1_S73_R1_001.fastq.gz
lib1,RaACE2_04_bin2,RaACE2,2,4,200914,439515,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b2_S74_R1_001.fastq.gz
lib1,RaACE2_04_bin3,RaACE2,3,4,200914,695816,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b3_S75_R1_001.fastq.gz
lib1,RaACE2_04_bin4,RaACE2,4,4,200914,1351314,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s22-b4_S76_R1_001.fastq.gz
lib1,RaACE2_05_bin1,RaACE2,1,5,200914,6453029,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b1_S77_R1_001.fastq.gz
lib1,RaACE2_05_bin2,RaACE2,2,5,200914,779191,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b2_S78_R1_001.fastq.gz
lib1,RaACE2_05_bin3,RaACE2,3,5,200914,848437,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b3_S79_R1_001.fastq.gz
lib1,RaACE2_05_bin4,RaACE2,4,5,200914,706778,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s23-b4_S80_R1_001.fastq.gz
lib1,RaACE2_06_bin1,RaACE2,1,6,200914,7613101,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b1_S81_R1_001.fastq.gz
lib1,RaACE2_06_bin2,RaACE2,2,6,200914,891387,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b2_S82_R1_001.fastq.gz
lib1,RaACE2_06_bin3,RaACE2,3,6,200914,742824,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b3_S83_R1_001.fastq.gz
lib1,RaACE2_06_bin4,RaACE2,4,6,200914,12206,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s24-b4_S84_R1_001.fastq.gz
lib1,RaACE2_07_bin1,RaACE2,1,7,200914,8169693,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b1_S85_R1_001.fastq.gz
lib1,RaACE2_07_bin2,RaACE2,2,7,200914,811841,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b2_S86_R1_001.fastq.gz
lib1,RaACE2_07_bin3,RaACE2,3,7,200914,15325,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b3_S87_R1_001.fastq.gz
lib1,RaACE2_07_bin4,RaACE2,4,7,200914,18,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s25-b4_S88_R1_001.fastq.gz
lib1,RaACE2_08_bin1,RaACE2,1,8,200914,9310647,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s26-b1_S89_R1_001.fastq.gz
lib1,RaACE2_08_bin2,RaACE2,2,8,200914,193707,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s26-b2_S90_R1_001.fastq.gz
lib1,RaACE2_08_bin3,RaACE2,3,8,200914,31,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s26-b3_S91_R1_001.fastq.gz
lib1,RaACE2_08_bin4,RaACE2,4,8,200914,11,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s26-b4_S92_R1_001.fastq.gz
lib1,RaACE2_09_bin1,RaACE2,1,9,200914,8714547,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b1_S33_R1_001.fastq.gz
lib1,RaACE2_09_bin2,RaACE2,2,9,200914,92114,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b2_S34_R1_001.fastq.gz
lib1,RaACE2_09_bin3,RaACE2,3,9,200914,26,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b3_S35_R1_001.fastq.gz
lib1,RaACE2_09_bin4,RaACE2,4,9,200914,4,/shared/ngs/illumina/tstarr/200917_D00300_1055_BHH3KJBCX3/Unaligned/Project_tstarr/200914_s09-b4_S36_R1_001.fastq.gz
